,Product,Price
0,"8"" UnMeat Veg Spicy Pizza",₹ 157 
1,"8"" Double Cheese Margherita Pizza",₹ 157 
2,"8"" Feta & Caramelized Onion Pizza",₹ 157 
3,Whole Wheat Garlic Bread,₹ 54 
4,Corn Jalapeno Stuff Garlic Bread,₹ 83 
5,Chicken Tikka Stuff Garlic Bread,₹ 94 
6,"8"" Golden Corn Pizza",₹ 136 
7,"8"" Roasted Veggie Pizza",₹ 146 
8,"8"" Farm Fresh Veggie Pizza",₹ 151 
9,"8"" Classic Paneer Pizza",₹ 152 
10,"8"" Indie Chicken Tikka Pizza",₹ 157 
11,"8"" Peri Peri Paneer Pizza",₹ 157 
12,"8"" Chicken Makhani Pizza",₹ 162 
13,"8"" Kadhai Paneer Pizza",₹ 162 
14,"8"" Chicken Afghani Pizza",₹ 162 
15,"8"" Kadhai Chicken Pizza",₹ 167 
16,"8"" Chicken Overload Pizza",₹ 173 
17,"8"" Feta Chicken Basil Pizza",₹ 183 
18,Butter Chicken Kulcha Burger,₹ 120 
19,Butter Paneer Kulcha Burger,₹ 115 
20,Spicy Dilli Kulcha Burger,₹ 94 
21,Dal Makhani Kulcha Burger,₹ 104 
22,Veg Keema Kulcha Burger,₹ 110 
23,Paneer XL Kulcha Burger,₹ 141 
24,Fruit Bowl,₹ 159 
25,Poha,₹ 100 
26,Egg Roll,₹ 125 
27,Nutty Gritty - Roasted Peanuts,₹ 32 
28,Nutty Gritties BBQ Almonds - 21 gm,₹ 36 
29,Nutty Gritties Sports Mix - 30 gm,₹ 48 
30,Baked Punjabi Aloo Samosa,₹ 58 
31,Baked Paneer Samosa,₹ 75 
32,Baked Bhuna Chicken Samosa,₹ 75 
33,Poha with Sev,₹ 83 
34,Aloo Paratha with Pickle,₹ 83 
35,Aloo Paratha with Marwadi Aloo & Pickle,₹ 116 
36,Veg Keema Roll,₹ 125 
37,Idli-Sambhar with Coconut Chutney,₹ 125 
38,Podi Idli with Coconut Chutney,₹ 125 
39,Aloo Methi Paratha,₹ 142 
40,Gobhi Paratha,₹ 150 
41,Paneer Bhurji Paratha,₹ 200 
42,Sabudana Khichdi,₹ 83 
43,Vegetable Khichdi (500gm),₹ 52 
44,Dal Khichdi & Marwadi Aloo,₹ 73 
45,Special Dal Khichdi,₹ 76 
46,Curd Rice (500gm),₹ 78 
47,Achari Khichdi (500gm),₹ 78 
48,Classic Rajasthani Dal Papad Khichdi (500gm),₹ 78 
49,Multigrain Khichdi (500gm),₹ 78 
50,Achari Khichdi,₹ 83 
51,Mix Veggies Khichdi,₹ 89 
52,Moong Mutter Khichdi,₹ 89 
53,Panch Ratan Khichdi,₹ 89 
54,Classic Masala Dal Khichdi,₹ 89 
55,Quinoa Khichdi (500gm),₹ 89 
56,Butter Tadka Khichdi,₹ 94 
57,5 Grain Khichdi (High Fiber),₹ 94 
58,Garlic Tadka Khichdi,₹ 94 
59,Super-Food Methi Khichdi,₹ 94 
60,Great Exploration Box,₹ 99 
